CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Especialidade
Período:Fev/2020
"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"520780 Firminópolis";12;14;4;3;4;-;37
"520790 Flores de Goiás";-;5;-;2;-;-;7
"520800 Formosa";38;32;49;17;2;-;138
"520810 Formoso";3;13;5;4;-;-;25
"520840 Goianápolis";-;12;-;6;-;-;18
"520850 Goiandira";4;20;4;5;-;-;33
"520860 Goianésia";65;106;44;42;1;-;258
"520870 Goiânia";2605;1483;475;471;1266;217;6517
"520880 Goianira";20;36;16;14;-;-;86
"520890 Goiás";12;24;2;3;-;-;41
"520910 Goiatuba";17;69;23;12;-;-;121
"520960 Heitoraí";3;8;4;4;-;-;19
"520970 Hidrolândia";2;10;4;5;-;-;21
"520980 Hidrolina";4;14;5;5;-;-;28
"520990 Iaciara";3;6;3;4;-;-;16
"520993 Inaciolândia";2;7;2;5;-;-;16
"520995 Indiara";12;17;12;10;-;-;51
"521000 Inhumas";31;34;19;14;-;-;98
"521010 Ipameri";24;79;12;15;-;-;130
"521020 Iporá";29;47;19;16;3;-;114
"521030 Israelândia";1;2;4;-;-;-;7
"521040 Itaberaí";7;18;8;5;-;-;38
"521060 Itaguaru";-;14;-;5;-;-;19
"521080 Itajá";2;9;2;5;-;-;18
"521090 Itapaci";8;16;6;7;4;-;41
"521100 Itapirapuã";4;12;4;3;-;-;23
"521120 Itapuranga";20;63;27;14;-;-;124
"521130 Itarumã";5;6;3;3;-;-;17
"521140 Itauçu";4;6;4;4;-;-;18
"521150 Itumbiara";63;77;32;25;10;2;209
"521160 Ivolândia";1;4;2;3;-;-;10
"521170 Jandaia";2;4;3;4;-;-;13
"521180 Jaraguá";17;48;8;11;-;-;84
"521190 Jataí";47;51;37;17;3;-;155
"521200 Jaupaci";1;4;5;-;-;-;10
"521210 Joviânia";2;8;2;5;-;-;17
"521220 Jussara";8;39;12;9;-;-;68
"521250 Luziânia";25;46;30;16;16;-;133
"521260 Mairipotaba";6;5;2;-;-;-;13
"521270 Mambaí";-;13;-;3;-;-;16
"521280 Mara Rosa";5;22;6;11;-;-;44
"521290 Marzagão";-;15;4;4;-;-;23
"521295 Matrinchã";3;6;-;5;-;-;14
"521300 Maurilândia";4;3;3;2;-;-;12
"521308 Minaçu";27;34;18;21;1;-;101
"521310 Mineiros";77;77;61;27;-;5;247
"521350 Monte Alegre de Goiás";-;9;-;6;1;-;16
"521370 Montes Claros de Goiás";2;16;6;-;-;-;24
"521375 Montividiu";2;8;3;-;-;-;13
"521380 Morrinhos";30;38;20;15;7;-;110
"521385 Morro Agudo de Goiás";1;14;1;3;-;-;19
"521390 Mossâmedes";4;10;2;3;-;1;20
"521400 Mozarlândia";2;10;4;4;-;-;20
"521405 Mundo Novo";4;4;6;4;-;-;18
"521410 Mutunópolis";2;10;2;5;-;-;19
"521440 Nazário";1;7;4;4;-;-;16
"521450 Nerópolis";27;33;15;5;35;3;118
"521460 Niquelândia";20;50;17;16;-;-;103
"521470 Nova América";-;2;1;1;-;-;4
"521483 Nova Crixás";6;20;15;3;1;-;45
"521500 Nova Veneza";-;10;4;4;-;-;18
"521520 Novo Brasil";1;6;2;-;-;-;9
"521530 Orizona";5;11;6;6;-;-;28
"521550 Ouvidor";2;17;4;8;-;-;31
"521560 Padre Bernardo";7;14;6;5;1;-;33
"521565 Palestina de Goiás";2;11;2;4;-;-;19
"521570 Palmeiras de Goiás";10;10;5;8;-;-;33
"521580 Palmelo";-;6;2;2;-;-;10
"521590 Palminópolis";2;10;4;3;-;-;19
"521600 Panamá";-;6;-;2;1;-;9
"521630 Paranaiguara";5;11;7;6;1;-;30
"521640 Paraúna";4;8;4;2;2;-;20
"521680 Petrolina de Goiás";1;21;1;3;-;-;26
"521710 Piracanjuba";14;33;12;7;4;-;70
"521720 Piranhas";2;16;6;4;-;-;28
"521730 Pirenópolis";10;26;4;11;-;-;51
"521740 Pires do Rio";12;11;6;8;1;-;38
"521760 Planaltina";17;16;16;22;1;-;72
"521770 Pontalina";9;19;12;10;-;-;50
"521800 Porangatu";23;32;18;12;-;6;91
"521805 Porteirão";4;12;-;4;-;-;20
"521810 Portelândia";2;6;6;3;-;-;17
"521830 Posse";5;29;15;5;1;14;69
"521850 Quirinópolis";40;42;20;17;1;1;121
"521860 Rialma";7;8;4;5;-;-;24
"521880 Rio Verde";109;160;67;35;14;5;390
"521890 Rubiataba";6;54;11;8;1;-;80
"521900 Sanclerlândia";3;9;2;3;-;-;17
"521910 Santa Bárbara de Goiás";3;5;2;2;-;3;15
"521920 Santa Cruz de Goiás";3;8;2;3;-;-;16
"521925 Santa Fé de Goiás";1;9;3;4;-;-;17
"521930 Santa Helena de Goiás";67;39;11;19;2;-;138
