CNES - Recursos Físicos - Hospitalar - Leitos de internação - Brasil
Quantidade existente por Município e Especialidade
Período:Fev/2020
"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"522026 São Miguel do Passa Quatro";-;11;-;-;-;-;11
"522040 São Simão";7;24;7;12;-;-;50
"522045 Senador Canedo";14;32;29;14;-;-;89
"522050 Serranópolis";2;8;5;5;1;-;21
"522060 Silvânia";5;14;8;9;-;4;40
"522068 Simolândia";2;10;3;5;-;-;20
"522100 Taquaral de Goiás";4;27;5;10;-;-;46
"522130 Três Ranchos";-;6;-;-;6;-;12
"522140 Trindade";50;66;23;21;337;-;497
"522145 Trombas";-;9;-;6;-;-;15
"522150 Turvânia";3;7;2;4;1;-;17
"522155 Turvelândia";2;7;6;4;-;-;19
"522160 Uruaçu";74;39;29;14;-;-;156
"522170 Uruana";5;10;10;2;-;-;27
"522185 Valparaíso de Goiás";10;17;23;18;-;-;68
"522200 Vianópolis";6;22;6;6;-;-;40
"522205 Vicentinópolis";4;5;4;3;-;-;16
"522220 Vila Boa";-;7;2;4;-;-;13
"530010 Brasília";2030;2358;855;638;636;188;6705
"Total";115217;152917;51718;48302;47491;10743;426388
 A partir da competência de Janeiro 2010 os dados referentes
 a leitos Complementares foram retirados da consulta referente
 a leitos de Internação, passando a constituir uma consulta específica conforme descrito na Nota Técnica.
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
